,output_text,Article,Actual Summary,Predicted Summary,ROUGE-1 Precision
0,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: Belle named 'best Scottish band'..Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll...The group beat Travis and Idlewild into second and third place respectively. Franz Ferdinand, who recently picked up five Brit Award nominations, ended up in 15th place, while the Eurythmics wound up at a lowly 38. Other Scottish acts, such as the Mull Historical Society who also featured in the top 50, performed at a party in Glasgow where the result was announced. Scottish-based band Snow Patrol, who finished 14th in the vote and have been nominated for a pair of Brit Awards, were among the performers who covered well-known Scottish pop songs at the party on Wednesday night...Indie stalwarts Belle & Sebastian have enjoyed a chart career stretching back to 1997. They were the surprise winners of the Brit Award for best breakthrough act two years later. Scottish bands from earlier musical eras also made it into the final list, including 1970s tartan boy band the Bay City Rollers and goth favourites the Jesus and Mary Chain...Scottish magazine The List recently compiled a list of the top 50 Scottish bands of all time, but left the final decision to the public. The magazine's music editor Mark Robertson said: ""The idea behind the project was simple - to rediscover the very best of Scottish music, from the finest musical talent spanning from the age of 70s rock through to 80s pop, right up to today's international stars."" ""Everyone has strong opinions about this and we wanted to open it up to the public to decide,"" he added. BBC Radio Scotland presenter Vic Galloway, who has been involved in the project, said it had been ""great fun"" to look back at Scotland's musical heritage and take note of up-and-coming Scottish acts.","Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll.Scottish magazine The List recently compiled a list of the top 50 Scottish bands of all time, but left the final decision to the public.Scottish bands from earlier musical eras also made it into the final list, including 1970s tartan boy band the Bay City Rollers and goth favourites the Jesus and Mary Chain.Scottish-based band Snow Patrol, who finished 14th in the vote and have been nominated for a pair of Brit Awards, were among the performers who covered well-known Scottish pop songs at the party on Wednesday night.BBC Radio Scotland presenter Vic Galloway, who has been involved in the project, said it had been ""great fun"" to look back at Scotland's musical heritage and take note of up-and-coming Scottish acts.","summarize: Belle named 'best Scottish band'..Belle & Sebastian have been named the best Scottish band of all time after a three month-long public poll...The group beat Travis and Idlewild into second and third place respectively. Franz Ferdinand, who recently picked up five Brit Award nominations, ended up in 15th place, while the Eurythmics wound up at a lowly 38. Other Scottish acts, such as the Mull Historical Society who also featured in the top 50, performed at a party in Glasgow where the result was announced. Scottish-based band Snow Patrol, who finished 14th in the vote and have been nominated for a pair of Brit Awards, were among the performers who covered well-known Scottish",0.4864864864864865
1,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: She had us at the hat toss. Mary Richards was a modest Midwestern girl, to be sure, but she had style, and she had spunk, as her new boss, Lou Grant, pointed out the day she walked into the   newsroom in her white   boots, a pleated miniskirt and those impeccable manners. When she threw her tam in the air during the show’s opening credits, we knew she was thrilled to be single and on her own in the big city of Minneapolis. But as the series unfolded, and we watched Mary Tyler Moore’s most famous character dress for work in the uniform of career women all over the country  —   the clingy knit dresses, the matching   pantsuits, the Evan Picone separates  —   she showed us her heart was in that newsroom. Ms. Moore died on Wednesday in Greenwich, Conn. [ Read Mary Tyler Moore’s obituary | 5 great episodes to stream ] There was a cultural sweet spot in the 1970s, as the old social mores unraveled (along with the “sweater girl”) and women flexed new muscles as working women, divorced women, women commited to the single life, newly conscious women  —   to use the parlance of the   feminist playbook  —   and fashion reflected the fluidity of that time. As women were reinventing themselves, fashion helped them along. Clothing, even in the office, was colorful and personal those jersey dresses and knit pantsuits moved with the body. And they were womanly. Mary’s inherent authority  —   that moral compass  —   was never compromised by the fact that she dressed in the basic idiom of her gender. (By the next decade, that freedom would be snuffed out, and working girls would ape the rigid suits of their male competitors, but that’s another story.) And like all working women, she wore the same outfit more than once, and so her wardrobe became as familiar as our own. Her predecessor, Ann Marie of “That Girl,” played by Marlo Thomas, was our first television singleton, but paired from the   with her boyfriend, Donald. She made her debut in the 1960s, a period that for women on the small screen was still the dark ages. Mary Richards had boyfriends, but they were ancillary to her real life, which played","But as the series unfolded, and we watched Mary Tyler Moore’s most famous character dress for work in the uniform of career women all over the country — the clingy knit dresses, the matching pantsuits, the Evan Picone separates — she showed us her heart was in that newsroom.

Ms. Moore died on Wednesday in Greenwich, Conn. There was a cultural sweet spot in the 1970s, as the old social mores unraveled and women flexed new muscles as working women, divorced women, women commited to the single life, newly conscious women — to use the parlance of the feminist playbook — and fashion reflected the fluidity of that time.

Mary Richards had boyfriends, but they were ancillary to her real life, which played out at work.

Ann Marie dressed almost like a child in the show’s early episodes, in the cartoonish, youthquake fashions of Mary Quant and others, which Ms. Thomas brought with her from London.

“The Mary Tyler Moore Show” always embraced the real world, and as it unfurled, that world grew a little darker, as did Mary Richards’ clothes.","summarize: She had us at the hat toss. Mary Richards was a modest Midwestern girl, to be sure, but she had style, and she had spunk, as her new boss, Lou Grant, pointed out the day she walked into the   newsroom in her white   boots, a pleated miniskirt and those impeccable manners. When she threw her tam in the air during the show’s opening credits, we knew she was thrilled to be single and on her own in the big city of Minneapolis. But as the series unfolded, and we watched Mary Tyler Moore‘s most famous character dress for work in the uniform of career women all over the country  —   ",0.36312849162011174
2,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: Celebrities get to stay in jungle..All four contestants still remain in I'm A Celebrity... Get Me Out Of Here as no evictions were made on the television show on Saturday...Contestants Paul Burrell, Joe Pasquale, Janet Street-Porter and Fran Cosgrave were told by hosts Ant and Dec. Natalie Appleton's decision to quit the show last Monday had given them all a stay of execution, the group were told. Model Sophie Anderton was the last person to be voted off the ITV1 show, set in the Australian jungle. The four remaining stars will do a joint Bushtucker Trial on Sunday...Former All Saints singer Natalie Appleton,31, walked out of the show after learning she would face a fifth so-called Bushtucker Trial. The celebrities are chosen by the viewers to pass trials in order to win food for the rest of the camp. Appleton had endured a torrid time during the programme, including a well-publicised row with Sophie Anderton. And on 26 November singer Brian Harvey quit as a contestant after he had a blazing row with Janet Street-Porter.","Former All Saints singer Natalie Appleton,31, walked out of the show after learning she would face a fifth so-called Bushtucker Trial.All four contestants still remain in I'm A Celebrity... Get Me Out Of Here as no evictions were made on the television show on Saturday.And on 26 November singer Brian Harvey quit as a contestant after he had a blazing row with Janet Street-Porter.Model Sophie Anderton was the last person to be voted off the ITV1 show, set in the Australian jungle.","summarize: Celebrities get to stay in jungle..All four contestants still remain in I'm A Celebrity... Get Me Out Of Here as no evictions were made on the television show on Saturday...Contestants Paul Burrell, Joe Pasquale, Janet Street-Porter and Fran Cosgrave were told by hosts Ant and Dec. Natalie Appleton's decision to quit the show last Monday had given them all a stay of execution, the group were told. Model Sophie Anderton was the last person to be voted off the ITV1 show, set in the Australian jungle. The four remaining stars will do a fifth so-called Bushtucker Trial on Sunday...Former All Saints singer Natalie AppleTON,31,",0.7752808988764045
3,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: A few hours after her father’s news conference on Wednesday at Trump Tower, Ivanka Trump posted a notice on her personal Facebook page officially announcing that she was taking a “formal leave of absence” from all management and operative responsibilities at her fashion brand and that she would be stepping down from her role at the Trump Organization. She would, she wrote, be spending the next few months concentrating on settling her children into their new lives in Washington and exploring how she could “determine the most impactful and appropriate ways for me to serve our country. ” This follows earlier decisions to separate her personal social media accounts from those of her brand. Yet in one meaningful area, Ms. Trump and her brand are harder to divide: That is, her wardrobe. After all, the same day she announced she was separating Ivanka Trump the person from Ivanka Trump the brand, The Daily Mail announced she had worn an Ivanka Trump coat to her father’s news conference. Then it offered a    box and link. In case, you know, anyone wanted to buy the garment. That turned out not to be true  —   according to a spokesman for Ms. Trump, the coat was by Joseph Altuzarra  —   but the confusion around woman and product made for some uncomfortable optics, and it raises the question: What does it mean to separate individual from company where fashion is concerned? On the one hand, there’s something ridiculous about suggesting that Ms. Trump not wear whatever clothes are in her closet, and as the founder of a fashion brand that bears her name, presumably part of her job has been to promote said brand by wearing it  —   to, in effect, demonstrate her belief in her own products. So she probably has a lot of such products within reach. And it’s not her fault if some media outlet chooses to point out that she looks good and tells people how they, too, can look good. On the other hand, her brand is clearly built on her image: Not just her name, but her face, and what she represents. It’s selling the promise that women who wear her clothes can get a piece of her gold dust  —   and now that this gold dust is visible in the corridors (and news conferences) of power, that is only going to be more true. Every time she is pictured in an Ivanka Trump outfit, it is bound to give a boost to the Ivanka Trump brand","A few hours after her father’s news conference on Wednesday at Trump Tower, Ivanka Trump posted a notice on her personal Facebook page officially announcing that she was taking a “formal leave of absence” from all management and operative responsibilities at her fashion brand and that she would be stepping down from her role at the Trump Organization.

After all, the same day she announced she was separating Ivanka Trump the person from Ivanka Trump the brand, The Daily Mail announced she had worn an Ivanka Trump coat to her father’s news conference.

On the one hand, there’s something ridiculous about suggesting that Ms. Trump not wear whatever clothes are in her closet, and as the founder of a fashion brand that bears her name, presumably part of her job has been to promote said brand by wearing it — to, in effect, demonstrate her belief in her own products.

Every time she is pictured in an Ivanka Trump outfit, it is bound to give a boost to the Ivanka Trump brand.

A scenario in which Ivanka Trump the brand removes Ms. Trump utterly from its identity is hard to imagine.","summarize: A few hours after her father’s news conference on Wednesday at Trump Tower, Ivanka Trump posted a notice on her personal Facebook page officially announcing that she was taking a “formal leave of absence” from all management and leadership responsibilities at her fashion brand and that she would be stepping down from her role at the Trump Organization. She would, she wrote, be spending the next few months concentrating on settling her children into their new lives in Washington and exploring how she could “determine the most impactful and appropriate ways for me to serve our country. ” This follows earlier decisions to separate her personal social media accounts from those of her brand. Yet in one meaningful area, Ms. Trump",0.40414507772020725
4,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: Oscars race enters final furlong..The race for the Oscars entered its final stages as the deadline for voters to choose their winners passed...The 5,808 Academy voters had until Tuesday afternoon to return their ballots - any late submissions will not be included in the count. The next five days will be spent counting the voting forms and preparing the winners' envelopes. Best actor nominee Leonardo DiCaprio is to present a statuette for the first time at the LA ceremony on Sunday...The 30-year-old actor, who is nominated for playing Howard Hughes in The Aviator, will join other hopefuls such as co-star Cate Blanchett, Natalie Portman and Kate Winslet as Oscar presenters. The only people who will know the Oscar winners before they are revealed at the ceremony will be the auditors who are in charge of looking after the ballot count...After collating the results, they are responsible for sealing the results in the famous golden envelopes which will be revealed by a host of celebrity presenters at the ceremony. Former Academy Award winners Gwyneth Paltrow, Dustin Hoffman and Halle Berry will also present prizes. The event at the Kodak Theatre will be attended by 3,300 people, including some of the best-known names in film, and organisers say they expect it will be watched on television by one billion people around the world. One current concern is the torrential rain which has lashed Los Angeles for the past week, flooding suburbs and causing mudslides. It is hoped the forecast for Sunday, for cool weather but no rain, will prove accurate. ""The last time it rained on Oscars night was in the mid-to-late 1980s,"" said Oscars communications director John Pavlik. ""We have had rain up until the day before the show many times, but for some reason the Oscar gods always shine on Sunday and we hope they will do so again this year,"" he added.","The only people who will know the Oscar winners before they are revealed at the ceremony will be the auditors who are in charge of looking after the ballot count.""We have had rain up until the day before the show many times, but for some reason the Oscar gods always shine on Sunday and we hope they will do so again this year,"" he added.Best actor nominee Leonardo DiCaprio is to present a statuette for the first time at the LA ceremony on Sunday.The race for the Oscars entered its final stages as the deadline for voters to choose their winners passed.It is hoped the forecast for Sunday, for cool weather but no rain, will prove accurate.The 5,808 Academy voters had until Tuesday afternoon to return their ballots - any late submissions will not be included in the count.","summarize: Oscars race enters final furlong..The race for the Oscars entered its final stages as the deadline for voters to choose their winners passed...The 5,808 Academy voters had until Tuesday afternoon to return their ballots - any late submissions will not be included in the count. The next five days will be spent counting the voting forms and preparing the winners' envelopes. Best actor nominee Leonardo DiCaprio is to present a statuette for the first time at the LA ceremony on Sunday...The 30-year-old actor, who is nominated for playing Howard Hughes in The Aviator, will join other hopefuls such as co-star Cate Blanchett, Natalie Portman and Kate Winslet as",0.5347222222222222
5,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: Brits return Keane to number one..Brits success has helped return Keane's award-winning album Hopes and Fears back to the top of the UK album chart...The debut album, which took the best British album title at the Brits on Tuesday, moved up seven places from number eight to number one. Also capitalising on Brits success were the Scissor Sisters whose eponymous album moved three places to number two. U2's latest single Sometimes You Can't Make It On Your Own took the top spot in the singles chart, ahead of Elvis. The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three...Elvis' Wooden Heart, which entered the chart at number two, is the sixth in a series of 18 reissues to mark the 70th anniversary of Presley's birth. There are currently six re-released Elvis' tracks occupying spots in the top 40 singles chart including Are You Lonesome Tonight at number 20, It's Now or Never at number 27 and Jailhouse Rock at number 37. Soldier, by Destiny's Child, Ti and Lil Wayne, debuted at number four, while Almost Here, the duet from former Westlife star Brian McFadden and Delta Goodrem, fell from number three to number five. There was more follow up to Brits success for Franz Ferdinand won best rock act and best British group last week. Their self-titled album moved from 13 to number four. Last week's number one album Tourist, by Athlete, fell to number three.","The debut album, which took the best British album title at the Brits on Tuesday, moved up seven places from number eight to number one.Last week's number one album Tourist, by Athlete, fell to number three.There are currently six re-released Elvis' tracks occupying spots in the top 40 singles chart including Are You Lonesome Tonight at number 20, It's Now or Never at number 27 and Jailhouse Rock at number 37.Their self-titled album moved from 13 to number four.The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three.","summarize: Brits return Keane to number one..Brits success has helped return Keane's award-winning album Hopes and Fears back to the top of the UK album chart...The debut album, which took the best British album title at the Brits on Tuesday, moved up seven places from number eight to number on. Also capitalising on Brits success were the Scissor Sisters whose eponymous album moved three places to number two. U2's latest single Sometimes You Can't Make It On Your Own took the top spot in the singles chart, ahead of Elvis. The track, from their current album How To Dismantle An Atomic Bomb, pushed Eminem's Like Toy Soldiers from number one to number three...",0.6181818181818182
6,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: Famed music director Viotti dies..Conductor Marcello Viotti, director of Venice's famous La Fenice Theatre, has died in Germany at 50...Viotti, director of La Fenice since 2002, conducted at renowned opera houses worldwide including Milan's La Scala and the Vienna State Opera. His time at La Fenice coincided with its reopening in 2003 after it was destroyed by fire in 1996. He fell into a coma after suffering a stroke during rehearsals for Jules Massenet's Manon last week...He conducted some of the best orchestras in the world including the Berlin Philharmonic and the English Chamber Orchestra. Viotti was born in Switzerland and studied the piano, cello and singing at the Lausanne Conservatory. His career breakthrough came in 1982 when he won first prize at the Gino Marinuzzi conducting competition in Italy. Viotti established himself as chief conductor of the Turin Opera and went on to become chief conductor of Munich's Radio Orchestra. At La Fenice Viotti was widely acclaimed for his production of the French composer Massenet's Thais and some of his other productions included Giuseppe Verdi's La Traviata and Richard Strauss's Ariadne auf Naxos...The last opera he directed at La Fenice was Massenet's Le Roi de Lahore. Viotti's debut at the New York's Metropolitan Opera came in 2000 with Giacomo Puccini's Madame Butterfly, followed by La Boheme, La Traviata and Fromental Halevy's La Juive. Giampaolo Vianello, superintendent of the Fenice Theatre Foundation, said: ""I am filled with extreme sadness because, other than a great artist, he is missed as a friend - a main character in the latest joyous times, during the rebirth of our theatre."" Viotti's last public performance was on 5 February when he conducted Vincenzo Bellini's Norma at the Vienna State Opera.","Viotti, director of La Fenice since 2002, conducted at renowned opera houses worldwide including Milan's La Scala and the Vienna State Opera.The last opera he directed at La Fenice was Massenet's Le Roi de Lahore.At La Fenice Viotti was widely acclaimed for his production of the French composer Massenet's Thais and some of his other productions included Giuseppe Verdi's La Traviata and Richard Strauss's Ariadne auf Naxos.Conductor Marcello Viotti, director of Venice's famous La Fenice Theatre, has died in Germany at 50.Viotti's debut at the New York's Metropolitan Opera came in 2000 with Giacomo Puccini's Madame Butterfly, followed by La Boheme, La Traviata and Fromental Halevy's La Juive.His time at La Fenice coincided with its reopening in 2003 after it was destroyed by fire in 1996.","summarize: Famed music director Viotti dies..Conductor Marcello Viotti, director of Manon last week...He conducted some of the best orchestras in the world including the Berlin Philharmonic and the English Chamber Orchestra. He also conducted at renowned opera houses worldwide including Milan's La Scala and the Vienna State Opera. His time at La Fenice coincided with its reopening in 2003 after it was destroyed by fire in 1996. He fell into a coma after suffering a stroke during rehearsals for Jules Massenet's Manon one week...Viotti, who was born in Switzerland and studied the piano, cello and singing at the Lausanne Conservatory. His career breakthrough came in 1982",0.4397163120567376
7,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: Roxy Music on Isle of Wight bill..Roxy Music will appear at June's Isle of Wight music festival, along with Morrissey, Supergrass and Idlewild...REM have already been confirmed as headliners for the three-day event, which takes place from 10-12 June. Original band members Bryan Ferry, Phil Manzerana, Andy Mackay and Paul Thompson will take to the stage on the Saturday night of the festival. The band are also working in the studio on new material, their first since the 1982 album Avalon. Roxy Music were formed in 1971 by Ferry, Mackay and Brian Eno, with Manzanera joining the following year. Their first hit was 1972's Virginia Plain, with other hits including Street Life, Love Is The Drug and the 1981 John Lennon cover, Jealous Guy. Roxy Music's back catalogue was re-released in 2000, leading to the band undertaking a world tour in 2001. Morrissey will also play on Saturday at the festival, while Supergrass and Idlewild have been confirmed for the Friday.","Morrissey will also play on Saturday at the festival, while Supergrass and Idlewild have been confirmed for the Friday.Roxy Music will appear at June's Isle of Wight music festival, along with Morrissey, Supergrass and Idlewild.Original band members Bryan Ferry, Phil Manzerana, Andy Mackay and Paul Thompson will take to the stage on the Saturday night of the festival.Roxy Music were formed in 1971 by Ferry, Mackay and Brian Eno, with Manzanera joining the following year.","summarize: Roxy Music on Isle of Wight bill..Roxy Music have already been confirmed as headliners for the three-day event, which takes place from 10-12 June. Original band members Bryan Ferry, Phil Manzerana, Andy Mackay and Paul Thompson will take to the stage on the Saturday night of the festival. The band are also working in the studio on new material, their first since the 1982 album, which costs $10,000. They are very happy to be performing in the stadium. Their first hit was 1972's Virginia Plain, with other hits including Street Life, Love Is The Drug and the 1981 John Lennon cover, Jealous Guy. Toxy Music were formed in 1971 by Ferry",0.6455696202531646
8,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: US actor 'found with gun residue'

Actor Robert Blake had gunshot residue on his hands and clothes the night his wife was shot dead, a court has heard.

But it may not have come from the shot that killed Bonny Lee Bakley in 2001, Mr Blake's murder trial was told by criminalist Steven Dowell. Mr Dowell told a Los Angeles court the residue may have come from Mr Blake's revolver, his gun collection, his presence at the crime scene or police. The 71-year-old former star of US TV drama Baretta has denied murder. Mr Blake said he found Ms Bakley, 44, dead in a car after they left a restaurant.

He said he briefly returned to the restaurant to collect a gun he had left behind and discovered her body when he returned. The gun he collected was not the murder weapon. It could also have been picked up if he touched or leant on the car when he found the body, or from a police box in which his clothes were later stored. The box had come from an area where officers went after being on the firing range. But Mr Dowell also said the residue would have been present if Mr Blake fired a gun that night. Witnesses have already told the trial Mr Blake ""stood out as being quite nervous and agitated"" at the restaurant before the murder. The actor, who won an Emmy for playing a maverick detective in the 1970s TV cop drama Baretta, could face life in prison if convicted.
","But Mr Dowell also said the residue would have been present if Mr Blake fired a gun that night.But it may not have come from the shot that killed Bonny Lee Bakley in 2001, Mr Blake's murder trial was told by criminalist Steven Dowell.Mr Dowell told a Los Angeles court the residue may have come from Mr Blake's revolver, his gun collection, his presence at the crime scene or police.Mr Blake said he found Ms Bakley, 44, dead in a car after they left a restaurant.Witnesses have already told the trial Mr Blake ""stood out as being quite nervous and agitated"" at the restaurant before the murder.","summarize: US actor 'found with gun residue on his hands and clothes the night his wife was shot dead, a court has heard. Now he’s dead in a Los Angeles court the residue may have come from Mr Blake's revolver, his gun collection, his presence at the crime scene or police. The 71-year-old former star of US TV drama Baretta has denied murder. Mr Blake said he found Ms Bakley, 44, killed in a car after they left a restaurant. “Thank you,” he said.”He said he briefly returned to the shot that killed Bonny Lee Bakley in 2001, Mr Blake’ murder trial was told by criminalist Steven Dowell",0.6283185840707964
9,"summarize: Janet L. Yellen, the Federal Reserve chairwoman, made it clear Wednesday that she believes that the American economy is pretty much back on track. And that, in turn, sets the stage for a potential conflict with the incoming Trump administration in the months and years ahead. Congress assigns the Fed two goals: seek maximum employment and maintain stable prices. “Yellen, in a speech in San Francisco, rather explicitly made clear that the nation isn’t far from attaining those goals.“Now, it’s fair to say, the economy is near maximum employment, and inflation is moving toward our goal,” she said. The unemployment rate, 4. 7 percent, is back","summarize: We all know the stereotype: silly millennials, tethered to their phones, unable to accomplish the simplest tasks without scrolling their Instagram feeds, snapping their friends   tweeting inanely. But a Nielsen report released last week shows that Americans from 18 to 34 are less obsessed with social media than some of their older peers are. Adults 35 to 49 were found to spend an average of 6 hours 58 minutes a week on social media networks, compared with 6 hours 19 minutes for the younger group. More predictably, adults 50 and over spent significantly less time on the networks: an average of 4 hours 9 minutes a week. Sean Casey, the president of Nielsen’s social division, said the finding initially surprised him because “the going thought is that social is vastly owned by the younger generation. ” “It’s kind of synonymous,” said Mr. Casey, who wrote the foreword to the report. “When you think of millennials, you think of social. ” Mr. Casey, 46, said that eventually, the finding started to make more sense to him. “At a time when we wanted to be connected, it came out right when we were at the top of our media consumption,” he said. “It’s become second nature to our generation. ” The finding underscores how ubiquitous the smartphone has become. The report, released on Jan. 17, found that in the United States, 97 percent of people 18 to 34, and 94 percent of people 35 to 49, had access to smartphones.   percent of those 50 and older used smartphones, the report found. The   report was based on data from 9, 000 smartphone users and 1, 300 tablet users across the country from July through September. The data was not . The report also broke out which social networks were most popular on smartphones, finding that Facebook still dominated on mobile, with about 178. 2 million unique users in September. It was followed by Instagram, with 91. 5 million unique users Twitter, with 82. 2 million unique users and Pinterest, with 69. 6 million users. Snapchat, a favorite of younger users, was sixth on the list, behind the professional networking site LinkedIn. Finally, the report looked at   activity on social media, measuring how many times Facebook and Twitter users employed those sites to post about programs they were watching or to interact with others’ posts. Again, in this category, it was Generation X that could not look","The report, released on Jan. 17, found that in the United States, 97 percent of people 18 to 34, and 94 percent of people 35 to 49, had access to smartphones.

The report was based on data from 9, 000 smartphone users and 1, 300 tablet users across the country from July through September.

The report also broke out which social networks were most popular on smartphones, finding that Facebook still dominated on mobile, with about 178. 2 million unique users in September.

It was followed by Instagram, with 91. 5 million unique users Twitter, with 82. 2 million unique users and Pinterest, with 69. 6 million users.

Finally, the report looked at activity on social media, measuring how many times Facebook and Twitter users employed those sites to post about programs they were watching or to interact with others’ posts.","summarize: We’ve all know the stereotype: silly millennials, tethered to their phones, unable to accomplish the simplest tasks without scrolling their Instagram feeds, snapping their friends    tweeting inanely. But a Nielsen report released last week shows that Americans from 18 to 34 are less obsessed with social media than some of their older peers are. Adults 35 to 49 were found to spend an average of 6 hours 58 minutes a week on social media networks, compared with 6 hours 19 minutes for the younger group. More predictably, adults 50 and over spent significantly less time on the networks than they did a year ago. Sean Casey, the president of Nielsen’s social division, said the finding initially surprised him because",0.2553191489361702
